[2023-07-07 03:34:11] [class-ss-plugin.php:305] Received request to start generating a static archive
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/uninstall.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/uninstall.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/readme.txt to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/readme.txt
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/SECURITY.md to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/SECURITY.md
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/index.php to queue as: http://msouden.local/wp-content/plugins/simply-static/index.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/css/admin.css to queue as: http://msouden.local/wp-content/plugins/simply-static/css/admin.css
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/debug.txt to queue as: http://msouden.local/wp-content/plugins/simply-static/debug.txt
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/js/admin-generate.js to queue as: http://msouden.local/wp-content/plugins/simply-static/js/admin-generate.js
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/js/admin-settings.js to queue as: http://msouden.local/wp-content/plugins/simply-static/js/admin-settings.js
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo to queue as: http://msouden.local/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE.po to queue as: http://msouden.local/wp-content/plugins/simply-static/languages/simply-static-de_DE.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/languages/simply-static.pot to queue as: http://msouden.local/wp-content/plugins/simply-static/languages/simply-static.pot
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/languages/simply-static-fr_FR.po to queue as: http://msouden.local/wp-content/plugins/simply-static/languages/simply-static-fr_FR.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE.mo to queue as: http://msouden.local/wp-content/plugins/simply-static/languages/simply-static-de_DE.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/uninstall.php to queue as: http://msouden.local/wp-content/plugins/simply-static/uninstall.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/simply-static.php to queue as: http://msouden.local/wp-content/plugins/simply-static/simply-static.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/readme.txt to queue as: http://msouden.local/wp-content/plugins/simply-static/readme.txt
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/license.txt to queue as: http://msouden.local/wp-content/plugins/simply-static/license.txt
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/settings.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/settings.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/_pagination.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/_pagination.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/generate.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/generate.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/_activity_log.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/_activity_log.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/_export_log.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/_export_log.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/layouts/admin.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/layouts/admin.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/diagnostics.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/diagnostics.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/views/redirect.php to queue as: http://msouden.local/wp-content/plugins/simply-static/views/redirect.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/assets/simply-static-logo.svg to queue as: http://msouden.local/wp-content/plugins/simply-static/assets/simply-static-logo.svg
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/autoload.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/autoload.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/composer.lock to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/composer.lock
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/phpunit.xml to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/phpunit.xml
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/bin/install-wp-tests.sh to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/bin/install-wp-tests.sh
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/classes/wp-async-request.php to queue as: http://msouden.local/wp-content/plugins/simply-static/vendor/a5hleyrich/wp-background-processing/classes/wp-async-request.php
